"Número Processo -  Formatado","URL Portal Transparência","Data Criação Processo","Objeto Processo","URL Documentos Processo","Código Órgão/Entidade Pedido","Nome Órgão/Entidade Pedido","Situação Processo","Procedimento Contratação - Detalhamento 1","Número Contrato","Contrato_TermoAditivo Arquivos","Código Órgão/Entidade Contratante","Nome Órgão/Entidade Contratante","Data Publicação Contrato","Data Início Vigência Contrato","Data Limite Vigência Contrato","Data Término Vigência Contrato","CNPJ/CPF Fornecedor - Formatado","Nome Empresarial/Nome Fornecedor","Processo SEI","URL Processo SEI","Código Item Material/Serviço - Numérico","Item Material/Serviço","Código Unidade Orçamentária","Nome Unidade Orçamentária","Descrição Linha Fornecimento","Cidade Entrega Item","Quantidade Homologada","Valor Unitário Referência Item Processo","Valor Unitário Homologado Item Processo","Valor Total Referência Item Processo","Valor Total Homologado"
"0250073 000001/2020","NA","07/04/2020","Contratação de empresa especializada para instalação de centrais e redes de gases medicinais e fornecimento de acessórios de gasoterapia.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","9245761","https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162593","1250","POLICIA MILITAR DE MINAS GERAIS","10/04/20","10/04/20","","10/10/20","35.820.448/0030-70","WHITE MARTINS GASES INDUSTRIAIS LTDA","NA","NA","1198","INSTALACAO DE SISTEMA DE CANALIZACAO DE  GASES MEDICINAIS/INDUSTRIAIS","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","INSTALACAO E/OU MONTAGEM DE SISTEMAS CENTRALIZADOS DE GASES","Belo Horizonte                          ","0,0000","780.098,1000","780.098,1000","780.098,10","780.098,10"
"0250073 000002/2020","NA","09/04/2020","Fornecimento de gases medicinais para o Hospital de Campanha de Minas Gerais.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","9245765","https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162594","1250","POLICIA MILITAR DE MINAS GERAIS","14/04/20","14/04/20","31/12/2020","14/10/20","35.820.448/0030-70","WHITE MARTINS GASES INDUSTRIAIS LTDA","NA","NA","1083678","OXIGENIO - TIPO: MEDICINAL LIQUEFEITO, GRAU DE PUREZA: MINIMO 99,5%; ARMAZENAMENTO: EM TANQUE CRIOGENICO DE OXIGENIO MEDICINAL; FORMULA MOLECULAR: O2; PESO MOLECULAR: 32,00; APARENCIA E ODOR: GAS INCOLOR E INODORO; FINALIDADE: RESP. HUMANA, OXIGENOTERAPIA, TERAPIA HIPERBARICA;","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","COMBUSTIVEIS, LUBRIFICANTES E DERIVADOS","Belo Horizonte                          ","108.000,0000","1,4800","1,4800","159.840,00","159.840,00"
"0250073 000002/2020","NA","09/04/2020","Fornecimento de gases medicinais para o Hospital de Campanha de Minas Gerais.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","9245765","https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162594","1250","POLICIA MILITAR DE MINAS GERAIS","14/04/20","14/04/20","31/12/2020","14/10/20","35.820.448/0030-70","WHITE MARTINS GASES INDUSTRIAIS LTDA","NA","NA","1235680","GASES MEDICINAIS - IDENTIFICACAO: NITROGENIO; CAS: 7727-37-9; ASPECTO: GAS LIQUEFEITO INCOLOR; COMPOSICAO: NITROGENIO (N2); CONCENTRACAO: MINIMA 99%; APRESENTACAO: CILINDRO;","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","COMBUSTIVEIS, LUBRIFICANTES E DERIVADOS","Belo Horizonte                          ","48.000,0000","1,4100","1,4100","67.680,00","67.680,00"
"0250073 000003/2020","NA","10/04/2020","Locação de tanques de criogênio (incluindo assistência técnica) e misturador de gases medicinais para o Hospital Campanha de Minas Gerais.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","0","","","","","","","","35.820.448/0030-70","WHITE MARTINS GASES INDUSTRIAIS LTDA","NA","NA","15725","LOCACAO DE EQUIPAMENTOS PARA SISTEMA CENTRALIZADO DE GASES","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","LOCACAO DE TANQUES, CILINDROS E EQUIPAMENTOS PARA SISTEMA CENTRALIZADODE GASES","Belo Horizonte                          ","0,0000","5.970,0000","995,0000","5.970,00","995,00"
"0250073 000003/2020","NA","10/04/2020","Locação de tanques de criogênio (incluindo assistência técnica) e misturador de gases medicinais para o Hospital Campanha de Minas Gerais.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","0","","","","","","","","35.820.448/0030-70","WHITE MARTINS GASES INDUSTRIAIS LTDA","NA","NA","42277","LOCACAO DE TANQUE CRIOGENICO","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","LOCACAO DE EQUIPAMENTOS, ARTIGOS E MOBILIARIO HOSPITALAR, ODONTOLOGICOE LABORATORIAL","Belo Horizonte                          ","0,0000","21.852,0000","3.642,0000","21.852,00","3.642,00"
"0250073 000004/2020","NA","15/04/2020","Materiais destinados para adequações no Hospital de Campanha no Expominas BH.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","9246002","https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700","1250","POLICIA MILITAR DE MINAS GERAIS","28/04/20","28/04/20","","28/07/20","00.242.692/0001-84","FERRAGENS FAVORITA LTDA -EPP","NA","NA","11754","PARAFUSO SEXTAVADO - MATERIA-PRIMA: ACO GALVANIZADO; ROSCA: SOBERBA; MEDIDAS: 1/4 POLEGADA X 70MM;","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","FERRAGENS, ABRASIVOS, MATERIAIS PARA VEDACAO E FIXACAO","Belo Horizonte                          ","40,0000","0,4500","0,4500","18,00","18,00"
"0250073 000004/2020","NA","15/04/2020","Materiais destinados para adequações no Hospital de Campanha no Expominas BH.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","9246002","https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700","1250","POLICIA MILITAR DE MINAS GERAIS","28/04/20","28/04/20","","28/07/20","00.242.692/0001-84","FERRAGENS FAVORITA LTDA -EPP","NA","NA","62367","DISJUNTOR PARA REDE ELETRICA - TIPO: TERMOMAGNETICO, CAP. INTERRUPCAO 6000 AMP. - 10KA; CORRENTE NOMINAL: 10 AMPERES; POLARIDADE: UNIPOLAR; TENSAO NOMINAL: 230/400 VOLTS - 50/60 HZ; FIXACAO: -;","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS","Belo Horizonte                          ","1,0000","8,8000","8,8000","8,80","8,80"
"0250073 000004/2020","NA","15/04/2020","Materiais destinados para adequações no Hospital de Campanha no Expominas BH.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","9246002","https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700","1250","POLICIA MILITAR DE MINAS GERAIS","28/04/20","28/04/20","","28/07/20","00.242.692/0001-84","FERRAGENS FAVORITA LTDA -EPP","NA","NA","65889","ELETRODUTO - MATERIA-PRIMA: ACO GALVANIZADO; RIGIDEZ: RIGIDO ROSCAVEL; ACABAMENTO: LISO, SEM COSTURA; DIAMETRO: BITOLA DE 3/4 DE POLEGADA;","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS","Belo Horizonte                          ","5,0000","14,0000","14,0000","70,00","70,00"
"0250073 000004/2020","NA","15/04/2020","Materiais destinados para adequações no Hospital de Campanha no Expominas BH.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","9246002","https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700","1250","POLICIA MILITAR DE MINAS GERAIS","28/04/20","28/04/20","","28/07/20","00.242.692/0001-84","FERRAGENS FAVORITA LTDA -EPP","NA","NA","72354","DISJUNTOR PARA REDE ELETRICA - TIPO: TERMOMAGNETICO, CAP. INTERRUPCAP 6000 AMP. - 10KA; CORRENTE NOMINAL: 32 AMPERES; POLARIDADE: UNIPOLAR; TENSAO NOMINAL: 230/400 VOLTS - 50/60 HZ; FIXACAO: -;","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS","Belo Horizonte                          ","1,0000","9,0000","9,0000","9,00","9,00"
"0250073 000004/2020","NA","15/04/2020","Materiais destinados para adequações no Hospital de Campanha no Expominas BH.","NA","1250","POLICIA MILITAR DE MINAS GERAIS","Concluído","Dispensa de Licitação","9246002","https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700","1250","POLICIA MILITAR DE MINAS GERAIS","28/04/20","28/04/20","","28/07/20","00.242.692/0001-84","FERRAGENS FAVORITA LTDA -EPP","NA","NA","113328","DISJUNTOR PARA REDE ELETRICA - TIPO: TERMOMAGNETICO, CAP. INTERRUPCAO 5KA; CORRENTE NOMINAL: 20 AMPERES; POLARIDADE: UNIPOLAR; TENSAO NOMINAL: 230/400 VOLTS - 50/60 HZ; FIXACAO: SOBRE TRILHOS;","1251","POLICIA MILITAR DO ESTADO DE MINAS GERAIS","ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS","Belo Horizonte                          ","1,0000","8,8000","8,8000","8,80","8,80"
